,title,author,source,description,content,pub_date,url,photo_url,combined_txt,tokens,lemms
34,Noora and Adhila: Kerala lesbian 'brides' in 'wedding' photoshoot,https://www.facebook.com/bbcnews,"{'id': 'bbc-news', 'name': 'BBC News'}",Gay marriage is not legal in India but congratulations poured in as the couple posed for wedding photos.,"""There's freedom now, we can live our dreams.""
Adhila Nasarin and Fathima Noora made headlines earlier this year when a court in the southern Indian state of Kerala reunited the two women after they… [+5155 chars]",2022-11-26,https://www.bbc.co.uk/news/world-asia-india-63725898,https://ichef.bbci.co.uk/news/1024/branded_news/18477/production/_127774499_an4.jpg,noora and adhila kerala lesbian brides in wedding photoshoot there is freedom now we can live our dreams adhila nasarin and fathima noora made headlines earlier this year when a court in the southern indian state of kerala reunited the two women after they  chars,"['noora', 'adhila', 'kerala', 'lesbian', 'brides', 'wedding', 'photoshoot', 'freedom', 'live', 'dreams', 'adhila', 'nasarin', 'fathima', 'noora', 'made', 'headlines', 'earlier', 'year', 'court', 'southern', 'indian', 'state', 'kerala', 'reunited', 'two', 'women', 'chars']",noora adhila kerala lesbian bride wedding photoshoot freedom live dream adhila nasarin fathima noora made headline earlier year court southern indian state kerala reunited two woman char
35,Tatas' Air India-Vistara merger: Can the group conquer Indian skies?,https://www.facebook.com/bbcnews,"{'id': 'bbc-news', 'name': 'BBC News'}","Air India and Vistara will merge to create India's second-largest domestic carrier, but there are challenges.","The upcoming merger between Air India and Vistara - both operated by Indian conglomerate Tata Group - is a sound decision, experts say, but can the combined entity take on domestic market leader Indi… [+3304 chars]",2022-12-02,https://www.bbc.co.uk/news/world-asia-india-63817820,https://ichef.bbci.co.uk/news/1024/branded_news/2782/production/_127841101_gettyimages-1236766483-594x594.jpg,tatas air india vistara merger can the group conquer indian skies the upcoming merger between air india and vistara both operated by indian conglomerate tata group is a sound decision experts say but can the combined entity take on domestic market leader indi  chars,"['tatas', 'air', 'india', 'vistara', 'merger', 'group', 'conquer', 'indian', 'skies', 'upcoming', 'merger', 'air', 'india', 'vistara', 'operated', 'indian', 'conglomerate', 'tata', 'group', 'sound', 'decision', 'experts', 'say', 'combined', 'entity', 'take', 'domestic', 'market', 'leader', 'indi', 'chars']",tatas air india vistara merger group conquer indian sky upcoming merger air india vistara operated indian conglomerate tata group sound decision expert say combined entity take domestic market leader indi char
36,Rahul Gandhi's Bharat Jodo Yatra: Can unity walk help defeat India PM Modi?,https://www.facebook.com/bbcnews,"{'id': 'bbc-news', 'name': 'BBC News'}",The Indian opposition leader is halfway through a five-month-long march aimed at reviving his Congress party.,"Rahul Gandhi, leader of India's beleaguered opposition party, the Indian National Congress, is halfway and more than 2,000km (1,240 miles) into a long 'unity march' across India. 
The five-month-lon… [+6950 chars]",2022-11-25,https://www.bbc.co.uk/news/world-asia-india-63725897,https://ichef.bbci.co.uk/news/1024/branded_news/205C/production/_127748280_congress1.jpg,rahul gandhi is bharat jodo yatra can unity walk help defeat india pm modi rahul gandhi leader of india is beleaguered opposition party the indian national congress is halfway and more than  km   miles into a long unity march across india the five month lon  chars,"['rahul', 'gandhi', 'bharat', 'jodo', 'yatra', 'unity', 'walk', 'help', 'defeat', 'india', 'pm', 'modi', 'rahul', 'gandhi', 'leader', 'india', 'beleaguered', 'opposition', 'party', 'indian', 'national', 'congress', 'halfway', 'km', 'miles', 'long', 'unity', 'march', 'across', 'india', 'five', 'month', 'lon', 'chars']",rahul gandhi bharat jodo yatra unity walk help defeat india pm modi rahul gandhi leader india beleaguered opposition party indian national congress halfway km mile long unity march across india five month lon char
37,"Serial killer The Serpent, Charles Sobhraj, freed from Nepal jail",https://www.facebook.com/bbcnews,"{'id': 'bbc-news', 'name': 'BBC News'}","Charles Sobhraj, convicted of killing two women in 1975, was linked to tourist murders in South East Asia.","A French serial killer linked to a string of tourist murders in South East Asia in the 1970s has been freed from a Nepalese prison.
Charles Sobhraj, known as The Serpent, was released after a court … [+1031 chars]",2022-12-23,https://www.bbc.co.uk/news/world-asia-64073271,https://ichef.bbci.co.uk/news/1024/branded_news/6B89/production/_128092572_gettyimages-114949405.jpg,serial killer the serpent charles sobhraj freed from nepal jail a french serial killer linked to a string of tourist murders in south east asia in the s has been freed from a nepalese prison charles sobhraj known as the serpent was released after a court  chars,"['serial', 'killer', 'serpent', 'charles', 'sobhraj', 'freed', 'nepal', 'jail', 'french', 'serial', 'killer', 'linked', 'string', 'tourist', 'murders', 'south', 'east', 'asia', 'freed', 'nepalese', 'prison', 'charles', 'sobhraj', 'known', 'serpent', 'released', 'court', 'chars']",serial killer serpent charles sobhraj freed nepal jail french serial killer linked string tourist murder south east asia freed nepalese prison charles sobhraj known serpent released court char
38,Priyanka Chopra Jonas on Bollywood: 'I’d earn 10% of my male co-actor’s salary',https://www.facebook.com/bbcnews,"{'id': 'bbc-news', 'name': 'BBC News'}","The actress spoke about her experience with pay parity, body shaming and the pressure of social media.","Media caption, Priyanka Chopra Jonas on Bollywood: Id get paid 10 per cent of my male co-actor
Actress Priyanka Chopra Jonas tells BBC 100 Women that she received equal pay to her male co-actor for … [+5403 chars]",2022-12-07,https://www.bbc.co.uk/news/world-asia-63883106,https://ichef.bbci.co.uk/news/1024/branded_news/11A10/production/_127880227_2.jpg,priyanka chopra jonas on bollywood i d earn  of my male co actor s salary media caption priyanka chopra jonas on bollywood id get paid  per cent of my male co actor actress priyanka chopra jonas tells bbc  women that she received equal pay to her male co actor for  chars,"['priyanka', 'chopra', 'jonas', 'bollywood', 'earn', 'male', 'co', 'actor', 'salary', 'media', 'caption', 'priyanka', 'chopra', 'jonas', 'bollywood', 'id', 'get', 'paid', 'per', 'cent', 'male', 'co', 'actor', 'actress', 'priyanka', 'chopra', 'jonas', 'tells', 'bbc', 'women', 'received', 'equal', 'pay', 'male', 'co', 'actor', 'chars']",priyanka chopra jonas bollywood earn male co actor salary medium caption priyanka chopra jonas bollywood id get paid per cent male co actor actress priyanka chopra jonas tell bbc woman received equal pay male co actor char
39,Are women getting angrier?,https://www.facebook.com/bbcnews,"{'id': 'bbc-news', 'name': 'BBC News'}","An annual poll suggests that women, on average worldwide, are getting angrier. Why might this be?","An annual poll by Gallup suggests that women, on average worldwide, have been getting angrier over the past 10 years. Why might this be?
Two years ago Tahsha Renee was standing in her kitchen when a… [+8099 chars]",2022-12-07,https://www.bbc.co.uk/news/world-63874001,https://ichef.bbci.co.uk/news/1024/branded_news/D34A/production/_127909045_f71a4a10-cfe6-4197-838f-d63fbe12d01a.jpg,are women getting angrier an annual poll by gallup suggests that women on average worldwide have been getting angrier over the past  years why might this be two years ago tahsha renee was standing in her kitchen when a  chars,"['women', 'getting', 'angrier', 'annual', 'poll', 'gallup', 'suggests', 'women', 'average', 'worldwide', 'getting', 'angrier', 'past', 'years', 'might', 'two', 'years', 'ago', 'tahsha', 'renee', 'standing', 'kitchen', 'chars']",woman getting angrier annual poll gallup suggests woman average worldwide getting angrier past year might two year ago tahsha renee standing kitchen char
40,US lawmakers unveil TikTok ban bill over China security fears,https://www.facebook.com/bbcnews,"{'id': 'bbc-news', 'name': 'BBC News'}","TikTok, owned by Chinese firm ByteDance , has called the effort ""politically motivated"".","US lawmakers have proposed a ban on TikTok - the social media app known for its short viral videos - citing concerns about national security.
The bipartisan bill is the latest move in the US against… [+2632 chars]",2022-12-13,https://www.bbc.co.uk/news/business-63965553,https://ichef.bbci.co.uk/news/1024/branded_news/70B1/production/_127994882_gettyimages-1438609724.jpg,us lawmakers unveil tiktok ban bill over china security fears us lawmakers have proposed a ban on tiktok the social media app known for its short viral videos citing concerns about national security the bipartisan bill is the latest move in the us against  chars,"['us', 'lawmakers', 'unveil', 'tiktok', 'ban', 'bill', 'china', 'security', 'fears', 'us', 'lawmakers', 'proposed', 'ban', 'tiktok', 'social', 'media', 'app', 'known', 'short', 'viral', 'videos', 'citing', 'concerns', 'national', 'security', 'bipartisan', 'bill', 'latest', 'move', 'us', 'chars']",u lawmaker unveil tiktok ban bill china security fear u lawmaker proposed ban tiktok social medium app known short viral video citing concern national security bipartisan bill latest move u char
42,Bangladesh accused of violent crackdown on free speech,https://www.facebook.com/bbcnews,"{'id': 'bbc-news', 'name': 'BBC News'}",Bangladesh denies it is cracking down on freedom of expression as opposition calls for protest march.,"""I was treated like an animal in a zoo. I was permanently blindfolded - the only time they removed my handcuffs from behind my back was to eat.""
Bangladeshi journalist Shafiqul Islam Kajol, known as… [+7445 chars]",2022-12-10,https://www.bbc.co.uk/news/world-asia-63917621,https://ichef.bbci.co.uk/news/1024/branded_news/12484/production/_127948847_8.png,bangladesh accused of violent crackdown on free speech i was treated like an animal in a zoo i was permanently blindfolded the only time they removed my handcuffs from behind my back was to eat bangladeshi journalist shafiqul islam kajol known as  chars,"['bangladesh', 'accused', 'violent', 'crackdown', 'free', 'speech', 'treated', 'like', 'animal', 'zoo', 'permanently', 'blindfolded', 'time', 'removed', 'handcuffs', 'behind', 'back', 'eat', 'bangladeshi', 'journalist', 'shafiqul', 'islam', 'kajol', 'known', 'chars']",bangladesh accused violent crackdown free speech treated like animal zoo permanently blindfolded time removed handcuff behind back eat bangladeshi journalist shafiqul islam kajol known char
43,Apple tries to improve iPhone 14’s crash detection with iOS 16.1.2,Samuel Axon,"{'id': 'ars-technica', 'name': 'Ars Technica'}",A much bigger iOS update numbered 16.2 is expected soon.,"Enlarge/ An iPhone and Apple Watch showing the crash detection feature.
2 with 0 posters participating
Apple released a minor software update for iPhones today. Unlike many of its other iOS updates… [+2099 chars]",2022-11-30,https://arstechnica.com/gadgets/2022/11/apple-tries-to-improve-iphone-14s-crash-detection-with-ios-16-1-2/,https://cdn.arstechnica.net/wp-content/uploads/2022/11/iPhone-Crash-Detection-760x380.png,apple tries to improve iphone  s crash detection with ios    enlarge an iphone and apple watch showing the crash detection feature  with  posters participating apple released a minor software update for iphones today unlike many of its other ios updates  chars,"['apple', 'tries', 'improve', 'iphone', 'crash', 'detection', 'ios', 'enlarge', 'iphone', 'apple', 'watch', 'showing', 'crash', 'detection', 'feature', 'posters', 'participating', 'apple', 'released', 'minor', 'software', 'update', 'iphones', 'today', 'unlike', 'many', 'ios', 'updates', 'chars']",apple try improve iphone crash detection io enlarge iphone apple watch showing crash detection feature poster participating apple released minor software update iphones today unlike many io update char
44,The evolution of whales from land to sea,Knowable Magazine,"{'id': None, 'name': 'Knowablemagazine.org'}",Genomes of cetaceans help tell story of mammals who returned to life aquatic.,"Enlarge/ Whales and their kin evolved from land-dwelling mammals, a transition that entailed major physiological and morphological changeswhich geneticists have begun to parse.
10 with 0 posters par… [+6551 chars]",2022-11-26,https://knowablemagazine.org/article/living-world/2022/evolution-whales-land-to-sea,https://cdn.arstechnica.net/wp-content/uploads/2021/04/whales9-760x380.jpg,the evolution of whales from land to sea enlarge whales and their kin evolved from land dwelling mammals a transition that entailed major physiological and morphological changeswhich geneticists have begun to parse  with  posters par  chars,"['evolution', 'whales', 'land', 'sea', 'enlarge', 'whales', 'kin', 'evolved', 'land', 'dwelling', 'mammals', 'transition', 'entailed', 'major', 'physiological', 'morphological', 'changeswhich', 'geneticists', 'begun', 'parse', 'posters', 'par', 'chars']",evolution whale land sea enlarge whale kin evolved land dwelling mammal transition entailed major physiological morphological changeswhich geneticist begun parse poster par char
